pd_id,party_all_clf_pdid
pd-10150124349775072-2,REP
pd-101501502350453-1,REP
pd-101501768597429-1,REP
pd-101502357891185-2,DEM
pd-101503055364951-1,DEM
pd-101504864963708-2,DEM
pd-101506642408484-1,DEM
pd-101506789126257-1,DEM
pd-101507882637662-1,REP
pd-101512125799858-1,DEM
pd-101512125799858-2,DEM
pd-101514155075196-1,DEM
pd-101518785985651-1,REP
pd-101521059144878-1,DEM
pd-101522319169035-1,DEM
pd-101525041616176-1,DEM
pd-101525979066661-1,REP
pd-1015288011861575-1,DEM
pd-101533365446370-1,DEM
pd-101533712379253-2,DEM
pd-101535059388333-1,DEM
pd-101536371964327-1,REP
pd-101536389186526-1,DEM
pd-101540936024193-1,REP
pd-101541398357283-2,REP
pd-101542152480595-3,DEM
pd-101542284893130-3,DEM
pd-101545632737038-1,DEM
pd-101546325724288-1,DEM
pd-101547384911014-1,DEM
pd-101547539915281-2,DEM
pd-101549879254211-1,DEM
pd-101551769331593-1,REP
pd-101552439325352-1,DEM
pd-101562632728887-1,REP
pd-101562792611823-1,DEM
pd-101562792611823-2,DEM
pd-101563001801324-1,DEM
pd-101564054951838-2,DEM
pd-101564072297790-3,DEM
pd-101568356040763-1,REP
pd-101570372460870-1,DEM
pd-101575179201573-1,DEM
pd-101576025836800-1,DEM
pd-101577665531540-1,REP
pd-101578132445205-1,REP
pd-101581329115492-2,REP
pd-101581329115492-3,REP
pd-101589306058874-2,REP
pd-101593118164512-1,DEM
pd-101594925956695-1,REP
pd-101597789235163-1,DEM
pd-101597958785421-1,REP
pd-101597958785421-2,REP
pd-101598947885386-1,REP
pd-101599455887989-1,REP
pd-101600398803848-NA,REP
pd-101605354952785-2,DEM
pd-101607509161537-1,REP
pd-101607589097916-1,REP
pd-101611168201285-1,DEM
pd-101611168201285-2,DEM
pd-101616884742727-1,DEM
pd-101618731578740-1,DEM
pd-101622782475254-1,DEM
pd-101623635935331-2,REP
pd-101623908045515-2,REP
pd-101624565923604-1,DEM
pd-101626535691142-1,REP
pd-101626596063561-1,REP
pd-101632698217979-2,DEM
pd-101633824549376-3,REP
pd-101639192470104-1,REP
pd-101640712628684-1,DEM
pd-101640958954039-1,DEM
pd-101641349188240-1,REP
pd-101642140171339-1,DEM
pd-101643896028667-1,REP
pd-101648772718734-1,DEM
pd-101648772718734-2,DEM
pd-101661694725936-1,REP
pd-101666041597774-1,REP
pd-101666252522231-1,DEM
pd-101667379315398-2,REP
pd-101670818343460-1,REP
pd-101671472696011-1,DEM
pd-101672329381420-1,REP
pd-101672342674573-1,DEM
pd-101672342674573-3,DEM
pd-101672342674573-4,DEM
pd-101672968924713-1,DEM
pd-101680012608981-1,DEM
pd-101680065972839-2,REP
pd-101680065972839-NA,DEM
pd-101681929070885-1,REP
pd-101684246064987-1,REP
pd-101684489287103-1,REP
pd-101685289123965-1,REP
pd-101691091213750-1,REP
pd-101693979099928-2,DEM
